comune,km,nome,piva,settore,ateco,attivita,fatturato,anno,personale,dipendenti,indirizzo,prova
Segrate,20.9,AUTOTRASPORTATORI ASSOCIATI LOMBARDI SOCIETA' COOPERATIVA A RESPONSABILITA' LIMITATA,04650950159,Facchinaggio,52.24,Movimentazione merci,3785099,,,,"Via Cuneo, 26","PG «autotrasportatori associati lombardi» in segrate: 25 risultati, nessuno con nome e comune coincidenti"
Segrate,20.9,WORK SERVICE S.R.L.,13205970968,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,1362150,2024,1191061,da 20 a 49,"Via San Bovio, 3","PG «work service» in segrate: 1 risultati, nessuno con nome e comune coincidenti"
Pioltello,21.6,FM POWER S.R.L.,12512390969,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,1316111,2022,596494,da 50 a 99,"Via Del Santuario, 31","PG «fm power» in pioltello: 25 risultati, nessuno con nome e comune coincidenti"
Pessano Con Bornago,21.7,COOPERATIVA GESTIONE PARCHEGGI LA BRIANZA A R.L.  IN BREVE   C.G .P.B. SOC. COOP. A R.L.,04024520969,Facchinaggio,52.24,Movimentazione merci,496537,,,,"Via Montello, 15","PG «gestione parcheggi la brianza cg pb» in pessano con bornago: 1 risultati, nessuno con nome e comune coincidenti"
Cassina De' Pecchi,22.3,IN E OUT S.R.L.S.,12613130967,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,559086,2023,483646,da 20 a 49,Via Roma,"PG «out» in cassina de' pecchi: 25 risultati, nessuno con nome e comune coincidenti"
Busto Garolfo,22.6,HADIS SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,11840220963,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,2073909,2023,334604,da 20 a 49,"Via Manzoni, 15","PG «hadis» in busto garolfo: 0 risultati, nessuno con nome e comune coincidenti"
Corsico,23.7,GABBIANO GROUP TRASLOCHI MILANO S.R.L.,13118570152,Facchinaggio,52.24,Movimentazione merci,378541,2024,158183,2,"Via Antonio Pacinotti, 46","PG «gabbiano group traslochi milano» in corsico: 1 risultati, nessuno con nome e comune coincidenti"
Gorgonzola,24.2,EMME SERVIZI S.R.L.,11989710964,Facchinaggio,52.24,Movimentazione merci,2665794,2023,2216771,da 50 a 99,"Via Milano, 37/C","PG «emme servizi» in gorgonzola: 5 risultati, nessuno con nome e comune coincidenti"
Gorgonzola,24.2,VOLCANO S.R.L.,11323440963,Facchinaggio,52.24,Movimentazione merci,1443978,2022,286028,da 10 a 15,"Via Milano, 37/C","PG «volcano» in gorgonzola: 2 risultati, nessuno con nome e comune coincidenti"
Gorgonzola,24.2,WORK LOG S.R.L.,13036890963,Facchinaggio,52.24,Movimentazione merci,1241773,2024,1264393,da 20 a 49,"Via Milano, 37/C","PG «work log» in gorgonzola: 0 risultati, nessuno con nome e comune coincidenti"
Buccinasco,24.7,LU.MA. SRL,10035920965,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,569252,2023,589274,da 20 a 49,"Via Lazio, 77","PG «lu ma» in buccinasco: 21 risultati, nessuno con nome e comune coincidenti"
Gessate,25.2,SCRAP S.R.L.,13446660154,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,578709,2017,94199,1,"Via Bergamo, 8","PG «scrap» in gessate: 1 risultati, nessuno con nome e comune coincidenti"
Rodano,25.4,POWER S.R.L.,13188410966,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,4189570,2024,1983626,da 50 a 99,"Via Alessandro Manzoni, 1/B","PG «power» in rodano: 25 risultati, nessuno con nome e comune coincidenti"
Peschiera Borromeo,27.2,SMART SERVICE SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,11951240966,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,1900669,2022,1575360,da 50 a 99,"Via Due Giugno, 9/A","PG «smart service» in peschiera borromeo: 9 risultati, nessuno con nome e comune coincidenti"
San Donato Milanese,27.2,PRISMA SOCIETA' COOPERATIVA,09863110962,Facchinaggio,52.24,Movimentazione merci,704819,,,,"Via G. Di Vittorio, 1","PG «prisma» in san donato milanese: 14 risultati, nessuno con nome e comune coincidenti"
San Donato Milanese,27.2,SYNERGIE GROUP SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,10122700965,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,428763,2018,438538,1,"Via Triulziana, 40","PG «synergie group» in san donato milanese: 0 risultati, nessuno con nome e comune coincidenti"
Peschiera Borromeo,27.2,GEC SOCIETA' COOPERATIVA,11796780960,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,288845,,,,"Via Einaudi, 4","PG «gec» in peschiera borromeo: 4 risultati, nessuno con nome e comune coincidenti"
Melzo,27.5,CONSORZIO TECHNOBUILD & SERVICE,03885530166,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,6222780,2024,174805,da 3 a 5,"Via Bruno Buozzi, 22","PG «consorzio technobuild service» in melzo: 1 risultati, nessuno con nome e comune coincidenti"
Melzo,27.5,AMB MULTISERVIZI S.R.L.,11083740966,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,1602059,2024,1455500,da 20 a 49,"Via Cristoforo Colombo, 8/B","PG «amb multiservizi» in melzo: 7 risultati, nessuno con nome e comune coincidenti"
Melzo,27.5,QUICK LOGISTICS SOCIETA' COOPERATIVA,10993010965,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,1142526,,,,"Via Cristoforo Colombo, 6","PG «quick logistics» in melzo: 9 risultati, nessuno con nome e comune coincidenti"
Melzo,27.5,AMB SERVIZI SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,11083960960,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,1071909,2021,1239808,nessuno,"Via Cristoforo Colombo, 8/B","PG «amb servizi» in melzo: 1 risultati, nessuno con nome e comune coincidenti"
Melzo,27.5,DUECCI SERVICE SOC. COOP. A R.L.,11266130969,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,271223,,,,"Via C. Colombo, 8/B","PG «duecci service» in melzo: 0 risultati, nessuno con nome e comune coincidenti"
Liscate,27.8,CREMA SERVIZI S.R.L.S.,12633940965,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,556927,2023,481634,da 20 a 49,"Via Bruno Buozzi, 23","PG «crema servizi» in liscate: 25 risultati, nessuno con nome e comune coincidenti"
Settala,28.8,PRO 10 SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,13308620965,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,410730,2024,634240,da 20 a 49,"Via Trieste, 6","PG «pro 10» in settala: 3 risultati, nessuno con nome e comune coincidenti"
Calolziocorte,28.9,AUTOTRASPORTI POZZONI ENRICO & C. S.R.L.,02586760130,Facchinaggio,52.24,Movimentazione merci,901533,2024,368433,da 10 a 15,"Via Galli, 10","PG «autotrasporti pozzoni enrico ec» in calolziocorte: 25 risultati, nessuno con nome e comune coincidenti"
Rozzano,29.0,UGR  COOPERATIVA SOCIALE A R.L.,06736970960,Facchinaggio,52.24,Movimentazione merci,879689,,,,"Via Monviso, 68","PG «ugr» in rozzano: 4 risultati, nessuno con nome e comune coincidenti"
San Giuliano Milanese,29.9,ACM SOCIETA' COOPERATIVA,08656650960,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,409418,,,,"Via Del Tecchione, 24/B","PG «acm» in san giuliano milanese: 14 risultati, nessuno con nome e comune coincidenti"
