comune,km,nome,piva,gia_25_09,cat_pg,fatturato,anno,personale,dipendenti,indirizzo_pg,indirizzo_legale,telefono,altri,fonte,livello,link_pg,ateco,attivita
Bologna,215.2,LA COMETA SOCIETA' COOPERATIVA,03678611207,,"Facchinaggio, carico e scarico merci, portabagagli",701181,,,,"Via della Beverara, 224/6 - 40131 Bologna (BO)","Via Della Beverara, 224/6",051 3169988,,ateco,esatto,https://www.paginegialle.it/bologna-bo/facchinaggio/cometa-societa-cooperativa,52.24.4,Movimento merci relativo ad altri trasporti terrestri
Padova,216.6,REALCOOP SOCIETA' COOPERATIVA,05094610283,,Imprese di pulizia,1194133,,,,"Via Salboro, snc - 35124 Padova (PD)","Via Salboro, 22/B",049 2271165,,ateco,via,https://www.paginegialle.it/impresadipulizierealcoop-padova,52.24.4,Movimento merci relativo ad altri trasporti terrestri
Rovigo,216.8,CPS ITALIA SC RL,01336940299,,"Cooperative produzione, lavoro e servizi",1207864,,,,"Viale Tre Martiri, snc - 45100 Rovigo (RO)","Viale Tre Martiri, 59/I",0425 538185,,ateco,esatto,https://www.paginegialle.it/cpsitaliascrl-rovigo,52.24,Movimentazione merci
Padova,220.2,COOPERATIVA REDUCI COMBATTENTI PARTIGIANI NICOLO' TOMMASEO,00211660287,,"Facchinaggio, carico e scarico merci, portabagagli",4165921,,,,"Corso Stati Uniti, 50 - 35127 Padova (PD)","Via Corso Stati Uniti,, 50",049 8703001,,ateco,esatto,https://www.paginegialle.it/padova-pd/facchinaggio/cooperativa-n.-tommaseo,52.24,Movimentazione merci
Padova,220.3,PADOVANA SERVIZI SOCIETA' COOPERATIVA,04946060284,,"Facchinaggio, carico e scarico merci, portabagagli",551105,,,,"Via San Salvatore, 37 - 35127 Padova (PD)","Via San Salvatore, 37",335 8225285,,ateco,esatto,https://www.paginegialle.it/padovana-servizi-padova,52.24,Movimentazione merci
Padova,220.6,FUTURA MULTISERVIZI SOCIETA' COOPERATIVA A RESPONSABILITA' LIMITATA,04930730280,,"Facchinaggio, carico e scarico merci, portabagagli",6192068,,,,"Via Lisbona, 28 - 35127 Padova (PD)","Via Lisbona, 28",049 761163,,ateco,esatto,https://www.paginegialle.it/padova-pd/futura-multiservizi-scarl,52.24.4,Movimento merci relativo ad altri trasporti terrestri
Lucca,225.9,C.D.L IRIDE SOCIETA' COOPERATIVA,01051350468,,"Cooperative produzione, lavoro e servizi",2319626,,,,"Via Traversa, 23 - 55100 Lucca (LU)","Viale Giuseppe Giusti, 225",0583 317353,,ateco,esatto,https://www.paginegialle.it/lucca-lu/cooperativa-lavoro/c-d-l-iride-soc-coop-r-l_20178175,52.24,Movimentazione merci
Lucca,227.9,FASTSERVICES 24 ORE SOCIETA' COOPERATIVA,02000770467,,"Cooperative produzione, lavoro e servizi",562491,,,,"Via Tiglio, 94 - 55100 Lucca (LU)","Via Di Tiglio, 94",0583 953447,,ateco,esatto,https://www.paginegialle.it/arancio-lu/cooperativa-lavoro/fastservices-24-ore-soc-coop-a-r-l,52.24,Movimentazione merci
Capannori,230.6,LA COMETA SOCIETA' COOPERATIVA SOCIALE,01687320463,,"Cooperative produzione, lavoro e servizi",1046561,,,,"Via Stipeti, 6/D - 55012 Capannori (LU)","Via Degli Stipeti, 6/D",0583 332020,,ateco,via,https://www.paginegialle.it/toringo-lu/cooperativa-lavoro/cooperativa-sociale-solidarieta-cometa-arl,52.24.4,Movimento merci relativo ad altri trasporti terrestri
Venezia,250.0,SATURNO SOCIETA' COOPERATIVA,00706490273,,"Cooperative produzione, lavoro e servizi",1996887,,,,"Via Toffoli Angelo, 1/D - 30175 Venezia (VE)","Via Angelo Toffoli, 1/D-E",041 924278,,ateco,esatto,https://www.paginegialle.it/venezia-ve/cooperativa-lavoro/saturno,52.24.4,Movimento merci relativo ad altri trasporti terrestri
Rosolina,250.1,SOCIETA' COOPERATIVA FACCHINI ROSOLINA,00346130297,,"Facchinaggio, carico e scarico merci, portabagagli",368339,,,,"Via Po Brondolo, 43 - 45010 Rosolina (RO)","Via Po Brondolo, 43/4",0426 665189,0426 313447,ateco,esatto,https://www.paginegialle.it/rosolina-ro/facchinaggio/cooperativa-facchini-rosolina,52.24,Movimentazione merci
Calenzano,255.7,CONSORZIO LA MULTISERVICE,05906390488,,"Facchinaggio, carico e scarico merci, portabagagli",3445075,2024,90081,2,"Via Caponnetto Antonino, 1/A - 50041 Calenzano (FI)","Via Pratignone, 11",055 4480766,055 8824502,ateco,altra-sede,https://www.paginegialle.it/calenzano-fi/facchinaggio/consorzio-multiservice,52.24.4,Movimento merci relativo ad altri trasporti terrestri
Capraia e Limite,256.9,MEP MULTISERVIZI SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,06912720486,,"Facchinaggio, carico e scarico merci, portabagagli",573537,2023,357486,da 10 a 15,"Via Eugenio Priamo Salani, 1 - 50050 Capraia e Limite (FI)","Via Salani, 1",0571 546750,,ateco,esatto,https://www.paginegialle.it/capraia-e-limite-fi/facchinaggio/mep-multiservizi-semplificata,52.24.4,Movimento merci relativo ad altri trasporti terrestri
Campi Bisenzio,257.1,CONSORZIO MILLENIUM LOGISTICA E SERVIZI,02301620486,,Consorzi,884878,2024,667211,da 16 a 19,"Via Buozzi Bruno, 50 - 50013 Campi Bisenzio (FI)","Via Raffaello Sanzio, 52/R",055 890062,,ateco,esatto,https://www.paginegialle.it/campi-bisenzio-fi/consorzi/consorzio-millenium-logistica-servizi_2,52.24.4,Movimento merci relativo ad altri trasporti terrestri
Cotignola,260.5,COOPERATIVA FACCHINI COTIGNOLA SOCIETA' COOPERATIVA IN SIGLA CO.FA.CO. SOC. COOP.,01056000399,,"Facchinaggio, carico e scarico merci, portabagagli",3502089,,,,"Via Giovanni Falcone, 6 - 48033 Cotignola (RA)","Via Giovanni Falcone, 6 INT. 4",0545 40259,,ateco,via,https://www.paginegialle.it/cotignola-ra/facchinaggio/cooperativa-facchini-cotignola-societa-cooperativa,52.24.4,Movimento merci relativo ad altri trasporti terrestri
Firenze,262.9,COOPERATIVA FACCHINI CASTELLO - SOCIETA' COOPERATIVA PER AZIONI,00788800480,,"Facchinaggio, carico e scarico merci, portabagagli",4562919,,,,"Via Panciatichi, 51/A - 50127 Firenze (FI)","Via Panciatichi, 51/A",055 414921,,ateco,esatto,https://www.paginegialle.it/cooperativa-facchini-castello-per-azioni-firenze,52.24.4,Movimento merci relativo ad altri trasporti terrestri
Firenze,264.7,CLS SOCIETA' COOPERATIVA,06835470482,,"Facchinaggio, carico e scarico merci, portabagagli",647775,,,,"Via Rinuccini Ottavio, 40 - 50144 Firenze (FI)","Via Ottavio Rinuccini, 40",055 0981998,,ateco,esatto,https://www.paginegialle.it/firenze-fi/facchinaggio/cls-societa-cooperativa,52.24,Movimentazione merci
Firenze,265.4,COLLINE FIORENTINE S.R.L. CON SOCIO UNICO,05964590482,,"Facchinaggio, carico e scarico merci, portabagagli",1074762,2024,970323,da 20 a 49,"Via Vittorio Emanuele II, 55/R - 50134 Firenze (FI)","Via Vittorio Emanuele Ii, 55R",055 2693752,055 7609755,ateco,esatto,https://www.paginegialle.it/firenze-fi/facchinaggio/colline-fiorentine-socio-unico_2,52.24.4,Movimento merci relativo ad altri trasporti terrestri
